tmdb_id,title,release_year,is_period_piece,setting_type,setting_confidence,overview,sources_used
19545,Invasion of Astro-Monster,1965,False,unknown,0.3,"Astronauts Glenn and Fuji investigate Planet X and encounter mysterious aliens known as the Xiliens, who ask Earth's people to help save their world from ""Monster Zero"".  In exchange for borrowing Godzilla and Rodan, the Xiliens offer a cure for cancer. As Glenn investigates, he develops a romance with Miss Namikawa and uncovers the Xilien's true intentions.",[]
5722,Beyond the Valley of the Dolls,1970,False,unknown,0.3,"An all-girl rock band moves to Hollywood in the hope of achieving success, only to fall into a whirlpool of wickedness and decadence.",[]
10331,Night of the Living Dead,1968,False,unknown,0.3,A ragtag group barricade themselves in an old Pennsylvania farmhouse to remain safe from a horde of flesh-eating ghouls ravaging the Northeast.,[]
42588,Getting Straight,1970,False,unknown,0.3,"Graduate student Harry Bailey was once one of the most visible undergraduate activists on campus, but now that he's back studying for his master's, he's trying to fly right. Trouble is, the campus is exploding with various student movements, and Harry's girlfriend, Jan, is caught up in most of them. As Harry gets closer to finishing his degree, he finds his iconoclastic attitude increasingly aligned with the students rather than the faculty.",[]
1629,La Chinoise,1967,False,unknown,0.3,"A small group of French students are studying Mao, trying to find out their position in the world and how to change the world to a Maoistic community using terrorism.",[]
248927,En un lugar de la Manga,1970,False,unknown,0.3,,[]
906337,Re - The God of Sun,1970,False,unknown,0.3,"A swarm of slaves in ancient Egypt moves massive boulders to erect a statue of Re, the god of the sun. Erecting impressive structures required knowledge and exact measurements. However, the statue's massive hand falls down and crushes the builders. The statue has been awe-inspiring for many centuries. Meditations on the religious nature of man.",[]
3170,Bambi,1942,False,unknown,0.3,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",[]
46691,Joe,1970,False,unknown,0.3,"After murdering his daughter's drug-dealing boyfriend, a wealthy ad executive stumbles into a bar and strikes up an uneasy alliance with Joe Curran, a drunken bigot with a bloodlust who works at a local factory.",[]
42600,Watermelon Man,1970,False,unknown,0.3,"A racist insurance agent lives in a typical suburban neighborhood, but his bigoted world of taunting and harassing black people on and off the job is turned upside down when his skin inexplicably turns dark overnight.",[]
491115,Capulina Speedy González,1970,True,unknown,0.3,"Pony Express mailman in old west discovers super-powered chiles, gets tangled up with bank robbers.. Pony Express mailman in old west discovers super-powered chiles, gets tangled up with bank robbers.. Capulina Speedy González. Un hombre, llamado Speedy, come chile y se vuelve fuerte y veloz, salva a un pueblo y se convierte en héroe.. En el Oeste, el cartero Speedy sólo lleva una carta de su novia Rosita para él mismo. Un cocinero que castiga a los que no aprueban sus platillos sin picante lo obliga a comer chile. Al comerlo se vuelve rápido y valiente.. De postbode van de Pony Express in het oude westen ontdekt superkrachtige chilipepers en raakt verstrikt in een gevecht met bankovervallers.. Pony Express mailman in old west discovers super-powered chiles, gets tangled up with bank robbers.. Capulina Speedy González. Un hombre, llamado Speedy, come chile y se vuelve fuerte y veloz, salva a un pueblo y se convierte en héroe.. En el Oeste, el cartero Speedy sólo lleva una carta de su novia Rosita para él mismo. Un cocinero que castiga a los que no aprueban sus platillos sin picante lo obliga a comer chile. Al comerlo se vuelve rápido y valiente.. De postbode van de Pony Express in het oude westen ontdekt superkrachtige chilipepers en raakt verstrikt in een gevecht met bankovervallers.",[]
624,Easy Rider,1969,False,unknown,0.3,"Wyatt and Billy, two Harley-riding hippies, complete a drug deal in Southern California and decide to travel cross-country in search of spiritual truth.",[]
1651,Mississippi Mermaid,1969,False,unknown,0.3,"A tobacco planter on Réunion island in the Indian Ocean becomes engaged through correspondence to a French woman he does not know. The woman that arrives does not look like the picture he received, but he marries her anyway.",[]
42612,Medium Cool,1969,False,unknown,0.3,"John Cassellis is the toughest TV news reporter around. After extensively reporting about violence and racial tensions in poor communities, he discovers that his network is helping the FBI by granting them access to his footage to find suspects.",[]
630,The Wizard of Oz,1939,False,unknown,0.3,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",[]
17529,True Grit,1969,True,unknown,0.3,"The murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. She recruits a tough old marshal, 'Rooster' Cogburn because he has 'true grit', and a reputation of getting the job done.. The strangest trio ever to track a killer.. Rooster Cogburn Collection. The strangest trio ever to track a killer.. Rooster Cogburn Collection",[]
42622,Finian's Rainbow,1968,False,unknown,0.3,"An Irishman and his daughter arrive in the American South with a stolen pot of gold, hoping to make their fortune. Pursued by a leprechaun desperate to recover his treasure, they become entangled in a battle over land, love, and prejudice in Rainbow Valley—where the gold’s magic turns wishes, and lives, upside down.",[]
209535,Is It Always Right to Be Right?,1970,False,unknown,0.3,"The world is divided into factions, on opposite sides of issues; each side is, of course, right. And so the gap between the people grows, until someone challenges the absolutist view of what's ""right.""",[]
28289,Cactus Flower,1969,False,unknown,0.3,"A dentist pretends to be married to avoid commitment, but when he falls for his girlfriend and proposes, he must recruit his lovelorn nurse to pose as his wife.",[]
